nbRooms,surface,nbWindows,price,id
4,57,8,202956,6
5,46,6,148352,7
3,102,8,337699,8
5,101,9,347944,9
5,41,4,155493,10
4,63,1,205492,11
3,62,1,202911,12
3,77,4,252987,13
3,148,7,477719,14
5,32,2,186015,15
4,91,3,295218,16
3,117,1,367496,17
5,66,5,232735,18
4,128,1,395555,19
4,73,8,259146,20
2,133,1,414050,21
4,115,1,365446,22
5,120,2,385045,23
1,64,2,202893,24
4,94,6,310693,25
4,128,7,406436,26
5,130,5,428754,27
4,26,1,250895,28
3,107,1,326354,29
3,32,3,102225,30
3,30,2,108893,31
3,34,5,129022,32
2,119,6,383151,33
4,128,7,478600,34
4,43,4,159996,35
3,132,7,429007,36
4,56,8,206683,37
4,38,1,135642,38
4,108,6,343679,39
3,44,8,166208,40
5,119,5,394339,41
3,71,4,240435,42
5,106,2,344205,43
1,80,6,253069,44
2,92,6,296444,45
4,125,1,393060,46
4,132,9,416327,47
4,132,6,456420,48
2,81,3,254301,49
2,125,4,388606,50
3,33,4,110170,51
2,123,3,380699,52
5,120,3,421088,53
2,52,3,176331,54
4,132,4,419190,55
4,138,7,443980,56
4,44,4,157975,57
4,72,9,255102,58
5,58,1,197184,59
3,65,8,224327,60
1,42,7,143394,61
4,51,2,210319,62
4,100,8,322816,63
4,88,1,286854,64
4,144,9,461709,65
4,115,9,368569,66
4,57,2,195442,67
5,95,7,320895,68
3,71,3,226733,69
3,74,7,244863,70
4,91,9,313455,71
2,86,4,275014,72
2,146,1,446686,73
4,35,2,127009,74
4,57,1,195806,75
1,57,5,181154,76
5,137,5,442409,77
5,73,7,253784,78
2,113,9,370096,79
5,59,9,222560,80
2,91,3,291343,81
3,104,3,325206,82
4,148,3,470596,83
4,121,4,391801,84
4,118,8,387806,85
5,132,6,428537,86
1,91,8,294986,87
5,126,1,401841,88
5,30,8,134716,89
3,56,4,182971,90
3,91,1,280625,91
3,145,8,453950,92
3,106,4,333992,93
4,134,6,433780,94
3,32,8,124368,95
3,132,4,420655,96
4,99,3,311173,97
3,101,9,335495,98
3,56,3,193163,99
1,38,9,138002,100
3,91,2,293614,101
5,66,2,231358,102
2,126,2,392919,103
2,80,6,257853,104
1,135,3,415146,105
